"","protein family","annotation","well-predicted, within family","well-predicted, outside family","poorly-predicted, within family","poorly-predicted, outside family","p_value","odds_ratio","p_value.adj","note"
"1","None","None","221","995","37","83","0.00149131444750116","0.498247996740459",0.0560563174516668,"not significant"
"2","IPR027417","P-loop containing nucleoside triphosphate hydrolase (homologous_superfamily)","74","1142","2","118","0.058957830215351","3.8231173380035",0.741184151278698,"not significant"
"3","IPR011009","Protein kinase-like domain superfamily (homologous_superfamily)","70","1146","2","118","0.05687258578638","3.60383944153578",0.741184151278698,"not significant"
"4","IPR000719","Protein kinase domain (domain)","69","1147","2","118","0.083386141564362","3.54925893635571",0.917247557207982,"not significant"
"5","IPR017441","Protein kinase, ATP binding site (binding_site)","56","1160","0","120","0.00747306073654302","Inf",0.131525868963157,"not significant"
"6","IPR013783","Immunoglobulin-like fold (homologous_superfamily)","37","1179","3","117","1","1.22391857506361",1,"not significant"
"7","IPR008271","Serine/threonine-protein kinase, active site (active_site)","32","1184","1","119","0.354984735270813","3.21621621621622",1,"not significant"
"8","IPR029063","S-adenosyl-L-methionine-dependent methyltransferase superfamily (homologous_superfamily)","30","1186","2","118","1","1.49241146711636",1,"not significant"
"9","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain (domain)","30","1186","0","120","0.103202831482582","Inf",1,"not significant"
"10","IPR008266","Tyrosine-protein kinase, active site (active_site)","28","1188","1","119","0.50825284670359","2.8047138047138",1,"not significant"
"11","IPR029058","Alpha/Beta hydrolase fold (homologous_superfamily)","28","1188","0","120","0.168698721990103","Inf",1,"not significant"
"12","IPR036291","NAD(P)-binding domain superfamily (homologous_superfamily)","27","1189","0","120","0.164059308420738","Inf",1,"not significant"
"13","IPR007110","Immunoglobulin-like domain (domain)","24","1192","2","118","1","1.18791946308725",1,"not significant"
"14","IPR043502","DNA/RNA polymerase superfamily (homologous_superfamily)","24","1192","1","119","0.719868719300412","2.39597315436242",1,"not significant"
"15","IPR009003","Peptidase S1, PA clan (homologous_superfamily)","24","1192","1","119","0.719868719300412","2.39597315436242",1,"not significant"
"16","IPR036179","Immunoglobulin-like domain superfamily (homologous_superfamily)","22","1194","2","118","1","1.08710217755444",1,"not significant"
"17","IPR013083","Zinc finger, RING/FYVE/PHD-type (homologous_superfamily)","20","1196","2","118","1","0.986622073578595",1,"not significant"
"18","IPR020635","Tyrosine-protein kinase, catalytic domain (domain)","21","1195","0","120","0.248571017795377","Inf",1,"not significant"
"19","IPR043504","Peptidase S1, PA clan, chymotrypsin-like fold (homologous_superfamily)","20","1196","1","119","1","1.98996655518395",1,"not significant"
"20","IPR003599","Immunoglobulin domain subtype (domain)","18","1198","2","118","0.699045118044428","0.886477462437396",1,"not significant"
"21","IPR011993","PH-like domain superfamily (homologous_superfamily)","18","1198","2","118","0.699045118044428","0.886477462437396",1,"not significant"
"22","IPR007094","RNA-directed RNA polymerase, catalytic domain (domain)","18","1198","1","119","1","1.78797996661102",1,"not significant"
"23","IPR001841","Zinc finger, RING-type (domain)","16","1200","2","118","0.672682604977578","0.786666666666667",1,"not significant"
"24","IPR017853","Glycoside hydrolase superfamily (homologous_superfamily)","17","1199","0","120","0.39086988068163","Inf",1,"not significant"
"25","IPR029071","Ubiquitin-like domain superfamily (homologous_superfamily)","15","1201","2","118","0.6602112060839","0.736885928393006",1,"not significant"
"26","IPR001019","Guanine nucleotide binding protein (G-protein), alpha subunit (family)","17","1199","0","120","0.39086988068163","Inf",1,"not significant"
"27","IPR011025","G protein alpha subunit, helical insertion (homologous_superfamily)","17","1199","0","120","0.39086988068163","Inf",1,"not significant"
"28","IPR003598","Immunoglobulin subtype 2 (domain)","15","1201","1","119","1","1.48626144879267",1,"not significant"
"29","IPR003593","AAA+ ATPase domain (domain)","15","1201","1","119","1","1.48626144879267",1,"not significant"
"30","IPR012338","Beta-lactamase/transpeptidase-like (homologous_superfamily)","15","1201","1","119","1","1.48626144879267",1,"not significant"
"31","IPR015943","WD40/YVTN repeat-like-containing domain superfamily (homologous_superfamily)","14","1202","1","119","1","1.38602329450915",1,"not significant"
"32","IPR036388","Winged helix-like DNA-binding domain superfamily (homologous_superfamily)","14","1202","1","119","1","1.38602329450915",1,"not significant"
"33","IPR036116","Fibronectin type III superfamily (homologous_superfamily)","13","1203","1","119","1","1.28595178719867",1,"not significant"
"34","IPR013320","Concanavalin A-like lectin/glucanase domain superfamily (homologous_superfamily)","14","1202","0","120","0.628564620894137","Inf",1,"not significant"
"35","IPR001205","RNA-directed RNA polymerase, C-terminal domain (domain)","13","1203","1","119","1","1.28595178719867",1,"not significant"
"36","IPR003961","Fibronectin type III (domain)","13","1203","1","119","1","1.28595178719867",1,"not significant"
"37","IPR036390","Winged helix DNA-binding domain superfamily (homologous_superfamily)","12","1204","1","119","1","1.18604651162791",1,"not significant"
"38","IPR043472","Macro domain-like (homologous_superfamily)","12","1204","1","119","1","1.18604651162791",1,"not significant"
"39","IPR002589","Macro domain (domain)","12","1204","1","119","1","1.18604651162791",1,"not significant"
"40","IPR044371","Non-structural protein 3, X-domain-like (domain)","12","1204","1","119","1","1.18604651162791",1,"not significant"
"41","IPR013106","Immunoglobulin V-set domain (domain)","11","1205","1","119","1","1.08630705394191",1,"not significant"
"42","IPR032675","Leucine-rich repeat domain superfamily (homologous_superfamily)","7","1209","5","115","0.00254801442962122","0.133167907361456",0.0560563174516668,"not significant"
"43","IPR013098","Immunoglobulin I-set (domain)","11","1205","1","119","1","1.08630705394191",1,"not significant"
"44","IPR036860","SH2 domain superfamily (homologous_superfamily)","12","1204","0","120","0.615611157031466","Inf",1,"not significant"
"45","IPR000980","SH2 domain (domain)","12","1204","0","120","0.615611157031466","Inf",1,"not significant"
"46","IPR001611","Leucine-rich repeat (repeat)","7","1209","5","115","0.00254801442962122","0.133167907361456",0.0560563174516668,"not significant"
"47","IPR027351","(+) RNA virus helicase core domain (domain)","11","1205","1","119","1","1.08630705394191",1,"not significant"
"48","IPR001628","Zinc finger, nuclear hormone receptor-type (domain)","11","1205","0","120","0.612875387903097","Inf",1,"not significant"
"49","IPR035500","Nuclear hormone receptor-like domain superfamily (homologous_superfamily)","11","1205","0","120","0.612875387903097","Inf",1,"not significant"
"50","IPR014756","Immunoglobulin E-set (homologous_superfamily)","10","1206","1","119","1","0.986733001658375",1,"not significant"
"51","IPR000536","Nuclear hormone receptor, ligand-binding domain (domain)","11","1205","0","120","0.612875387903097","Inf",1,"not significant"
"52","IPR017907","Zinc finger, RING-type, conserved site (conserved_site)","10","1206","1","119","1","0.986733001658375",1,"not significant"
"53","IPR000073","Alpha/beta hydrolase fold-1 (domain)","11","1205","0","120","0.612875387903097","Inf",1,"not significant"
"54","IPR013088","Zinc finger, NHR/GATA-type (homologous_superfamily)","11","1205","0","120","0.612875387903097","Inf",1,"not significant"
"55","IPR038765","Papain-like cysteine peptidase superfamily (homologous_superfamily)","9","1207","2","118","0.259184265032744","0.43993371996686",1,"not significant"
"56","IPR013785","Aldolase-type TIM barrel (homologous_superfamily)","11","1205","0","120","0.612875387903097","Inf",1,"not significant"
"57","IPR036028","SH3-like domain superfamily (homologous_superfamily)","10","1206","0","120","1","Inf",1,"not significant"
"58","IPR036333","RNA synthesis protein NSP10 superfamily, coronavirus (homologous_superfamily)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"59","IPR000626","Ubiquitin-like domain (domain)","8","1208","2","118","0.224486796598963","0.390728476821192",1,"not significant"
"60","IPR036465","von Willebrand factor A-like domain superfamily (homologous_superfamily)","8","1208","2","118","0.224486796598963","0.390728476821192",1,"not significant"
"61","IPR014822","Non-structural protein NSP9, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"62","IPR014828","Non-structural protein NSP7, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"63","IPR014829","Non-structural protein NSP8, coronavirus (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
"64","IPR049894","Coronavirus NSP3, 3Ecto domain (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",1,"not significant"
