xref_interpro,count,interpro_name
,259,
IPR027417,76,P-loop containing nucleoside triphosphate hydrolase (homologous_superfamily)
IPR011009,72,Protein kinase-like domain superfamily (homologous_superfamily)
IPR000719,71,Protein kinase domain (domain)
IPR017441,56,"Protein kinase, ATP binding site (binding_site)"
IPR013783,40,Immunoglobulin-like fold (homologous_superfamily)
IPR008271,33,"Serine/threonine-protein kinase, active site (active_site)"
IPR029063,32,S-adenosyl-L-methionine-dependent methyltransferase superfamily (homologous_superfamily)
IPR001245,30,"Serine-threonine/tyrosine-protein kinase, catalytic domain (domain)"
IPR008266,29,"Tyrosine-protein kinase, active site (active_site)"
IPR029058,28,Alpha/Beta hydrolase fold (homologous_superfamily)
IPR036291,27,NAD(P)-binding domain superfamily (homologous_superfamily)
IPR007110,26,Immunoglobulin-like domain (domain)
IPR043502,25,DNA/RNA polymerase superfamily (homologous_superfamily)
IPR009003,25,"Peptidase S1, PA clan (homologous_superfamily)"
IPR036179,24,Immunoglobulin-like domain superfamily (homologous_superfamily)
IPR013083,22,"Zinc finger, RING/FYVE/PHD-type (homologous_superfamily)"
IPR020635,21,"Tyrosine-protein kinase, catalytic domain (domain)"
IPR043504,21,"Peptidase S1, PA clan, chymotrypsin-like fold (homologous_superfamily)"
IPR003599,20,Immunoglobulin domain subtype (domain)
IPR011993,20,PH-like domain superfamily (homologous_superfamily)
IPR007094,19,"RNA-directed RNA polymerase, catalytic domain (domain)"
IPR001841,18,"Zinc finger, RING-type (domain)"
IPR017853,17,Glycoside hydrolase superfamily (homologous_superfamily)
IPR029071,17,Ubiquitin-like domain superfamily (homologous_superfamily)
IPR001019,17,"Guanine nucleotide binding protein (G-protein), alpha subunit (family)"
IPR011025,17,"G protein alpha subunit, helical insertion (homologous_superfamily)"
IPR003598,16,Immunoglobulin subtype 2 (domain)
IPR003593,16,AAA+ ATPase domain (domain)
IPR012338,16,Beta-lactamase/transpeptidase-like (homologous_superfamily)
IPR015943,15,WD40/YVTN repeat-like-containing domain superfamily (homologous_superfamily)
IPR036388,15,Winged helix-like DNA-binding domain superfamily (homologous_superfamily)
IPR036116,14,Fibronectin type III superfamily (homologous_superfamily)
IPR013320,14,Concanavalin A-like lectin/glucanase domain superfamily (homologous_superfamily)
IPR001205,14,"RNA-directed RNA polymerase, C-terminal domain (domain)"
IPR003961,14,Fibronectin type III (domain)
IPR036390,13,Winged helix DNA-binding domain superfamily (homologous_superfamily)
IPR043472,13,Macro domain-like (homologous_superfamily)
IPR002589,13,Macro domain (domain)
IPR044371,13,"Non-structural protein 3, X-domain-like (domain)"
IPR013106,12,Immunoglobulin V-set domain (domain)
IPR032675,12,Leucine-rich repeat domain superfamily (homologous_superfamily)
IPR013098,12,Immunoglobulin I-set (domain)
IPR036860,12,SH2 domain superfamily (homologous_superfamily)
IPR000980,12,SH2 domain (domain)
IPR001611,12,Leucine-rich repeat (repeat)
IPR027351,12,(+) RNA virus helicase core domain (domain)
IPR001628,11,"Zinc finger, nuclear hormone receptor-type (domain)"
IPR035500,11,Nuclear hormone receptor-like domain superfamily (homologous_superfamily)
IPR014756,11,Immunoglobulin E-set (homologous_superfamily)
IPR000536,11,"Nuclear hormone receptor, ligand-binding domain (domain)"
IPR017907,11,"Zinc finger, RING-type, conserved site (conserved_site)"
IPR000073,11,Alpha/beta hydrolase fold-1 (domain)
