"","protein family","annotation","AlphaFold2","ESMFold","OmegaFold"
"1","IPR000073","Alpha/beta hydrolase fold-1 (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"2","IPR000536","Nuclear hormone receptor, ligand-binding domain (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"3","IPR000626","Ubiquitin-like domain (domain)","not significant (adjusted p-value: 1, odds ratio: 0.391)","not significant (adjusted p-value: 0.756, odds ratio: 0.592)","not significant (adjusted p-value: 0.346, odds ratio: 0.467)"
"4","IPR000719","Protein kinase domain (domain)","not significant (adjusted p-value: 0.917, odds ratio: 3.549)","well-predicted family (adjusted p-value: 0.002, odds ratio: 11.016)","well-predicted family (adjusted p-value: 0.001, odds ratio: 7.343)"
"5","IPR000980","SH2 domain (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"6","IPR001019","Guanine nucleotide binding protein (G-protein), alpha subunit (family)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.795, odds ratio: 2.399)","not significant (adjusted p-value: 0.179, odds ratio: Inf)"
"7","IPR001205","RNA-directed RNA polymerase, C-terminal domain (domain)","not significant (adjusted p-value: 1, odds ratio: 1.286)","poorly predicted family (adjusted p-value: 0.002, odds ratio: 0.144)","poorly predicted family (adjusted p-value: 0.002, odds ratio: 0.146)"
"8","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.057, odds ratio: Inf)","well-predicted family (adjusted p-value: 0.014, odds ratio: Inf)"
"9","IPR001408","G-protein alpha subunit, group I (family)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.506, odds ratio: Inf)"
"10","IPR001452","SH3 domain (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.506, odds ratio: Inf)"
"11","IPR001611","Leucine-rich repeat (repeat)","not significant (adjusted p-value: 0.056, odds ratio: 0.133)","poorly predicted family (adjusted p-value: 0.005, odds ratio: 0.144)","poorly predicted family (adjusted p-value: 0.019, odds ratio: 0.197)"
"12","IPR001628","Zinc finger, nuclear hormone receptor-type (domain)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.346, odds ratio: Inf)"
"13","IPR001723","Nuclear hormone receptor (family)","not significant (adjusted p-value: 1, odds ratio: Inf)","not significant (adjusted p-value: 0.482, odds ratio: Inf)","not significant (adjusted p-value: 0.506, odds ratio: Inf)"
"14","IPR001841","Zinc finger, RING-type (domain)","not significant (adjusted p-value: 1, odds ratio: 0.787)","not significant (adjusted p-value: 1, odds ratio: 1.193)","not significant (adjusted p-value: 1, odds ratio: 1.007)"
