"","protein family","annotation","well-predicted, within family","well-predicted, outside family","poorly-predicted, within family","poorly-predicted, outside family","p_value","odds_ratio","p_value.adj","note"
"1","None","None","220","943","38","135","0.353168017361105","0.828821789362058",0.48194877651035,"not significant"
"2","IPR027417","P-loop containing nucleoside triphosphate hydrolase (homologous_superfamily)","64","1099","12","161","0.479961399500083","0.781316348195329",0.594881734591652,"not significant"
"3","IPR011009","Protein kinase-like domain superfamily (homologous_superfamily)","71","1092","1","172","0.000850483891272415","11.1831501831502",0.00233883070099914,"well-predicted family"
"4","IPR000719","Protein kinase domain (domain)","70","1093","1","172","0.000832028899534647","11.0155535224154",0.00233883070099914,"well-predicted family"
"5","IPR017441","Protein kinase, ATP binding site (binding_site)","56","1107","0","173","0.000730917570937859","Inf",0.00221795676698385,"well-predicted family"
"6","IPR013783","Immunoglobulin-like fold (homologous_superfamily)","40","1123","0","173","0.00674702109201887","Inf",0.0160469690837206,"well-predicted family"
"7","IPR008271","Serine/threonine-protein kinase, active site (active_site)","32","1131","1","172","0.11194941566325","4.86648983200707",0.214164099529696,"not significant"
"8","IPR029063","S-adenosyl-L-methionine-dependent methyltransferase superfamily (homologous_superfamily)","22","1141","10","163","0.00508161321392829","0.314285714285714",0.0124217211896025,"poorly predicted family"
"9","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain (domain)","30","1133","0","173","0.0253017121696214","Inf",0.0571554435042234,"not significant"
"10","IPR008266","Tyrosine-protein kinase, active site (active_site)","29","1134","0","173","0.0253302533711899","Inf",0.0571554435042234,"not significant"
"11","IPR029058","Alpha/Beta hydrolase fold (homologous_superfamily)","28","1135","0","173","0.0407737355929226","Inf",0.0854306840994569,"not significant"
"12","IPR036291","NAD(P)-binding domain superfamily (homologous_superfamily)","27","1136","0","173","0.0395819696996479","Inf",0.084956422769976,"not significant"
"13","IPR007110","Immunoglobulin-like domain (domain)","26","1137","0","173","0.0394843004205685","Inf",0.084956422769976,"not significant"
"14","IPR043502","DNA/RNA polymerase superfamily (homologous_superfamily)","14","1149","11","162","0.000109467329143828","0.179444576311417",0.000370504806332956,"poorly predicted family"
"15","IPR009003","Peptidase S1, PA clan (homologous_superfamily)","15","1148","10","163","0.000584840184271183","0.212979094076655",0.00183806915056658,"poorly predicted family"
"16","IPR036179","Immunoglobulin-like domain superfamily (homologous_superfamily)","24","1139","0","173","0.0619842530479408","Inf",0.126851494609739,"not significant"
"17","IPR013083","Zinc finger, RING/FYVE/PHD-type (homologous_superfamily)","20","1143","2","171","1","1.49606299212598",1,"not significant"
"18","IPR020635","Tyrosine-protein kinase, catalytic domain (domain)","21","1142","0","173","0.0972256583102578","Inf",0.190130176251171,"not significant"
"19","IPR043504","Peptidase S1, PA clan, chymotrypsin-like fold (homologous_superfamily)","13","1150","8","165","0.00307477514980868","0.233152173913043",0.00773086323380468,"poorly predicted family"
"20","IPR003599","Immunoglobulin domain subtype (domain)","20","1143","0","173","0.0963136854967809","Inf",0.190130176251171,"not significant"
"21","IPR011993","PH-like domain superfamily (homologous_superfamily)","16","1147","4","169","0.315165714022212","0.589363557105493",0.48194877651035,"not significant"
"22","IPR007094","RNA-directed RNA polymerase, catalytic domain (domain)","9","1154","10","163","3.3509476189445e-05","0.127123050259965",0.000117953356186846,"poorly predicted family"
"23","IPR001841","Zinc finger, RING-type (domain)","16","1147","2","171","1","1.19267654751526",1,"not significant"
"24","IPR017853","Glycoside hydrolase superfamily (homologous_superfamily)","17","1146","0","173","0.150988948660582","Inf",0.282702712385771,"not significant"
"25","IPR029071","Ubiquitin-like domain superfamily (homologous_superfamily)","15","1148","2","171","1","1.11716027874564",1,"not significant"
"26","IPR001019","Guanine nucleotide binding protein (G-protein), alpha subunit (family)","16","1147","1","172","0.71350408623206","2.39930252833479",0.79478936187875,"not significant"
"27","IPR011025","G protein alpha subunit, helical insertion (homologous_superfamily)","16","1147","1","172","0.71350408623206","2.39930252833479",0.79478936187875,"not significant"
"28","IPR003598","Immunoglobulin subtype 2 (domain)","16","1147","0","173","0.249397834163016","Inf",0.42205787319895,"not significant"
"29","IPR003593","AAA+ ATPase domain (domain)","15","1148","1","172","0.709587923380678","2.24738675958188",0.79478936187875,"not significant"
"30","IPR012338","Beta-lactamase/transpeptidase-like (homologous_superfamily)","15","1148","1","172","0.709587923380678","2.24738675958188",0.79478936187875,"not significant"
"31","IPR015943","WD40/YVTN repeat-like-containing domain superfamily (homologous_superfamily)","14","1149","1","172","0.708104296467515","2.09573542210618",0.79478936187875,"not significant"
"32","IPR036388","Winged helix-like DNA-binding domain superfamily (homologous_superfamily)","14","1149","1","172","0.708104296467515","2.09573542210618",0.79478936187875,"not significant"
"33","IPR036116","Fibronectin type III superfamily (homologous_superfamily)","14","1149","0","173","0.237783365649258","Inf",0.410292866218328,"not significant"
"34","IPR013320","Concanavalin A-like lectin/glucanase domain superfamily (homologous_superfamily)","14","1149","0","173","0.237783365649258","Inf",0.410292866218328,"not significant"
"35","IPR001205","RNA-directed RNA polymerase, C-terminal domain (domain)","7","1156","7","166","0.000840135135356885","0.143598615916955",0.00233883070099914,"poorly predicted family"
"36","IPR003961","Fibronectin type III (domain)","14","1149","0","173","0.237783365649258","Inf",0.410292866218328,"not significant"
"37","IPR036390","Winged helix DNA-binding domain superfamily (homologous_superfamily)","12","1151","1","172","1","1.79322328410078",1,"not significant"
"38","IPR043472","Macro domain-like (homologous_superfamily)","4","1159","9","164","3.79890080569127e-06","0.062889464097402",1.45349248217753e-05,"poorly predicted family"
"39","IPR002589","Macro domain (domain)","4","1159","9","164","3.79890080569127e-06","0.062889464097402",1.45349248217753e-05,"poorly predicted family"
"40","IPR044371","Non-structural protein 3, X-domain-like (domain)","4","1159","9","164","3.79890080569127e-06","0.062889464097402",1.45349248217753e-05,"poorly predicted family"
"41","IPR013106","Immunoglobulin V-set domain (domain)","12","1151","0","173","0.383368344951415","Inf",0.48194877651035,"not significant"
"42","IPR032675","Leucine-rich repeat domain superfamily (homologous_superfamily)","6","1157","6","167","0.00204524961890551","0.144338807260156",0.00529358724893191,"poorly predicted family"
"43","IPR013098","Immunoglobulin I-set (domain)","12","1151","0","173","0.383368344951415","Inf",0.48194877651035,"not significant"
"44","IPR036860","SH2 domain superfamily (homologous_superfamily)","12","1151","0","173","0.383368344951415","Inf",0.48194877651035,"not significant"
"45","IPR000980","SH2 domain (domain)","12","1151","0","173","0.383368344951415","Inf",0.48194877651035,"not significant"
"46","IPR001611","Leucine-rich repeat (repeat)","6","1157","6","167","0.00204524961890551","0.144338807260156",0.00529358724893191,"poorly predicted family"
"47","IPR027351","(+) RNA virus helicase core domain (domain)","4","1159","8","165","2.12473094360866e-05","0.0711820534943917",7.79068012656509e-05,"poorly predicted family"
"48","IPR001628","Zinc finger, nuclear hormone receptor-type (domain)","11","1152","0","173","0.377277795281772","Inf",0.48194877651035,"not significant"
"49","IPR035500","Nuclear hormone receptor-like domain superfamily (homologous_superfamily)","11","1152","0","173","0.377277795281772","Inf",0.48194877651035,"not significant"
"50","IPR014756","Immunoglobulin E-set (homologous_superfamily)","8","1155","3","170","0.161089979630246","0.392496392496393",0.295331629322118,"not significant"
"51","IPR000536","Nuclear hormone receptor, ligand-binding domain (domain)","11","1152","0","173","0.377277795281772","Inf",0.48194877651035,"not significant"
"52","IPR017907","Zinc finger, RING-type, conserved site (conserved_site)","10","1153","1","172","1","1.49176062445794",1,"not significant"
"53","IPR000073","Alpha/beta hydrolase fold-1 (domain)","11","1152","0","173","0.377277795281772","Inf",0.48194877651035,"not significant"
"54","IPR013088","Zinc finger, NHR/GATA-type (homologous_superfamily)","11","1152","0","173","0.377277795281772","Inf",0.48194877651035,"not significant"
"55","IPR038765","Papain-like cysteine peptidase superfamily (homologous_superfamily)","10","1153","1","172","1","1.49176062445794",1,"not significant"
"56","IPR013785","Aldolase-type TIM barrel (homologous_superfamily)","11","1152","0","173","0.377277795281772","Inf",0.48194877651035,"not significant"
"57","IPR036028","SH3-like domain superfamily (homologous_superfamily)","10","1153","0","173","0.377504855923006","Inf",0.48194877651035,"not significant"
"58","IPR036333","RNA synthesis protein NSP10 superfamily, coronavirus (homologous_superfamily)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"59","IPR000626","Ubiquitin-like domain (domain)","8","1155","2","171","0.627277402068985","0.592207792207792",0.756170018932475,"not significant"
"60","IPR036465","von Willebrand factor A-like domain superfamily (homologous_superfamily)","8","1155","2","171","0.627277402068985","0.592207792207792",0.756170018932475,"not significant"
"61","IPR014822","Non-structural protein NSP9, coronavirus (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"62","IPR014828","Non-structural protein NSP7, coronavirus (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"63","IPR014829","Non-structural protein NSP8, coronavirus (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"64","IPR049894","Coronavirus NSP3, 3Ecto domain (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"65","IPR043612","Non-structural protein NSP4, N-terminal, coronavirus (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"66","IPR043611","Coronavirus replicase NSP3, C-terminal (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"67","IPR043610","Non-structural protein 6, coronavirus (domain)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
"68","IPR043503","Papain-like viral protease, palm and finger domains, coronavirus (homologous_superfamily)","2","1161","8","165","2.43958793522604e-06","0.0355297157622739",1.07341869149946e-05,"poorly predicted family"
