pdb_id,label,chain_id
8P0E,monomer,8P0E:A
8PX8,monomer,8PX8:A
8B2E,monomer,8B2E:A
8HOE,monomer,8HOE:A
8TCE,monomer,8TCE:A
8SSX,monomer,8SSX:A
8PJS,monomer,8PJS:A
8J3N,monomer,8J3N:A
8SHY,monomer,8SHY:C
8OE5,monomer,8OE5:A
8WXP,monomer,8WXP:A
8GRV,monomer,8GRV:A
8T7K,monomer,8T7K:A
8IIT,monomer,8IIT:A
8EFG,monomer,8EFG:A
8CB3,monomer,8CB3:A
8YTN,monomer,8YTN:A
8HKB,monomer,8HKB:A
8U5F,monomer,8U5F:A
8XPN,monomer,8XPN:A
8EP6,monomer,8EP6:A
8J8T,monomer,8J8T:A
8CE9,monomer,8CE9:A
8BS6,monomer,8BS6:A
8JQ1,monomer,8JQ1:A
8SBM,monomer,8SBM:A
8VJ1,monomer,8VJ1:A
8KCQ,monomer,8KCQ:A
8QLT,monomer,8QLT:A
8JED,monomer,8JED:B
8YE0,monomer,8YE0:A
8GEY,monomer,8GEY:B
8V4N,monomer,8V4N:A
9FGP,monomer,9FGP:A
8QTA,monomer,8QTA:A
8TMS,monomer,8TMS:A
8HPG,monomer,8HPG:A
8BGF,monomer,8BGF:A
8UZ8,monomer,8UZ8:A
7YTF,monomer,7YTF:A
8C9I,monomer,8C9I:A
8PBV,monomer,8PBV:A
7G1Q,monomer,7G1Q:A
8YGW,monomer,8YGW:A
8SX4,monomer,8SX4:A
8HD3,monomer,8HD3:A
8JNM,monomer,8JNM:A
8BGJ,monomer,8BGJ:A
8G1L,monomer,8G1L:A
8W8T,monomer,8W8T:A
8GTH,monomer,8GTH:A
8H7B,monomer,8H7B:A
8EIL,monomer,8EIL:A
8USM,monomer,8USM:A
8QXP,monomer,8QXP:A
8C7D,monomer,8C7D:A
8BWB,monomer,8BWB:A
8JJT,monomer,8JJT:A
8T9N,monomer,8T9N:A
8SV9,monomer,8SV9:A
8CM1,monomer,8CM1:A
8J1K,monomer,8J1K:A
8V33,monomer,8V33:A
8IQT,monomer,8IQT:A
8E0H,monomer,8E0H:A
8UXR,monomer,8UXR:A
8JT4,monomer,8JT4:A
8UM6,monomer,8UM6:A
8GDY,monomer,8GDY:A
8XPZ,monomer,8XPZ:A
8UX2,monomer,8UX2:A
8X3A,monomer,8X3A:A
8IN6,monomer,8IN6:A
8QWQ,monomer,8QWQ:A
8C7K,monomer,8C7K:A
8XHO,monomer,8XHO:A
9IID,monomer,9IID:A
8JFX,monomer,8JFX:A
8WKH,monomer,8WKH:A
8HBB,monomer,8HBB:A
8IQD,monomer,8IQD:A
8FTN,monomer,8FTN:A
8FZB,monomer,8FZB:A
8FWX,monomer,8FWX:A
8ARJ,monomer,8ARJ:A
8HP8,monomer,8HP8:A
8SH4,monomer,8SH4:A
8BO0,monomer,8BO0:A
8C5N,monomer,8C5N:A
8E4A,monomer,8E4A:A
8ERM,monomer,8ERM:A
8B02,monomer,8B02:A
8YLA,monomer,8YLA:A
8UN9,monomer,8UN9:A
8P42,monomer,8P42:A
8TUK,monomer,8TUK:A
8I7Q,monomer,8I7Q:A
8TN0,monomer,8TN0:A
8H5S,monomer,8H5S:A
