"","protein family","annotation","well-predicted, within family","well-predicted, outside family","poorly-predicted, within family","poorly-predicted, outside family","p_value","odds_ratio","p_value.adj","note"
"1","None","None","209","903","49","175","0.307381015919961","0.826609713652903",0.443434908212403,"not significant"
"2","IPR027417","P-loop containing nucleoside triphosphate hydrolase (homologous_superfamily)","63","1049","13","211","0.875409939426171","0.974774510522842",1,"not significant"
"3","IPR011009","Protein kinase-like domain superfamily (homologous_superfamily)","70","1042","2","222","0.000272455290816946","7.45681381957774",0.000826760882479009,"well-predicted family"
"4","IPR000719","Protein kinase domain (domain)","69","1043","2","222","0.000436969790239392","7.34324065196548",0.00128177805136888,"well-predicted family"
"5","IPR017441","Protein kinase, ATP binding site (binding_site)","56","1056","0","224","6.00890448852647e-05","Inf",0.000195845775922344,"well-predicted family"
"6","IPR013783","Immunoglobulin-like fold (homologous_superfamily)","38","1074","2","222","0.0501747758274648","3.92737430167598",0.105128101733736,"not significant"
"7","IPR008271","Serine/threonine-protein kinase, active site (active_site)","32","1080","1","223","0.0312483425716433","6.60740740740741",0.0687463536576153,"not significant"
"8","IPR029063","S-adenosyl-L-methionine-dependent methyltransferase superfamily (homologous_superfamily)","18","1094","14","210","0.000258688422548324","0.246800731261426",0.000813020756580447,"poorly predicted family"
"9","IPR001245","Serine-threonine/tyrosine-protein kinase, catalytic domain (domain)","30","1082","0","224","0.0056939689162052","Inf",0.0143162647036016,"well-predicted family"
"10","IPR008266","Tyrosine-protein kinase, active site (active_site)","28","1084","1","223","0.0730257273243299","5.76014760147601",0.14605145464866,"not significant"
"11","IPR029058","Alpha/Beta hydrolase fold (homologous_superfamily)","28","1084","0","224","0.00900744494493667","Inf",0.0208593461882744,"well-predicted family"
"12","IPR036291","NAD(P)-binding domain superfamily (homologous_superfamily)","27","1085","0","224","0.0152919048107031","Inf",0.0345048108549198,"well-predicted family"
"13","IPR007110","Immunoglobulin-like domain (domain)","25","1087","1","223","0.106588673461474","5.12879484820607",0.199570282225739,"not significant"
"14","IPR043502","DNA/RNA polymerase superfamily (homologous_superfamily)","12","1100","13","211","4.68939751243017e-05","0.177062937062937",0.000165066792437542,"poorly predicted family"
"15","IPR009003","Peptidase S1, PA clan (homologous_superfamily)","14","1098","11","213","0.00115541331310149","0.246895181321411",0.0031773866110291,"poorly predicted family"
"16","IPR036179","Immunoglobulin-like domain superfamily (homologous_superfamily)","23","1089","1","223","0.161165866005214","4.70982552800735",0.289440738948139,"not significant"
"17","IPR013083","Zinc finger, RING/FYVE/PHD-type (homologous_superfamily)","19","1093","3","221","1","1.28057334553217",1,"not significant"
"18","IPR020635","Tyrosine-protein kinase, catalytic domain (domain)","21","1091","0","224","0.0358869525296599","Inf",0.0770256542100017,"not significant"
"19","IPR043504","Peptidase S1, PA clan, chymotrypsin-like fold (homologous_superfamily)","12","1100","9","215","0.00411009636911477","0.260606060606061",0.0106378964847676,"poorly predicted family"
"20","IPR003599","Immunoglobulin domain subtype (domain)","19","1093","1","223","0.228706177740517","3.87648673376029",0.345887963220906,"not significant"
"21","IPR011993","PH-like domain superfamily (homologous_superfamily)","16","1096","4","220","0.761136801201334","0.802919708029197",0.88131629612786,"not significant"
"22","IPR007094","RNA-directed RNA polymerase, catalytic domain (domain)","8","1104","11","213","5.06086100288856e-05","0.140316205533597",0.000171290680097767,"poorly predicted family"
"23","IPR001841","Zinc finger, RING-type (domain)","15","1097","3","221","1","1.00729261622607",1,"not significant"
"24","IPR017853","Glycoside hydrolase superfamily (homologous_superfamily)","16","1096","1","223","0.334546265465911","3.25547445255474",0.474839860661293,"not significant"
"25","IPR029071","Ubiquitin-like domain superfamily (homologous_superfamily)","14","1098","3","221","1","0.939283545840923",1,"not significant"
"26","IPR001019","Guanine nucleotide binding protein (G-protein), alpha subunit (family)","17","1095","0","224","0.0938052254532705","Inf",0.17945347478017,"not significant"
"27","IPR011025","G protein alpha subunit, helical insertion (homologous_superfamily)","17","1095","0","224","0.0938052254532705","Inf",0.17945347478017,"not significant"
"28","IPR003598","Immunoglobulin subtype 2 (domain)","15","1097","1","223","0.4962985033189","3.04922515952598",0.598277647836482,"not significant"
"29","IPR003593","AAA+ ATPase domain (domain)","14","1098","2","222","1","1.41530054644809",1,"not significant"
"30","IPR012338","Beta-lactamase/transpeptidase-like (homologous_superfamily)","15","1097","1","223","0.4962985033189","3.04922515952598",0.598277647836482,"not significant"
"31","IPR015943","WD40/YVTN repeat-like-containing domain superfamily (homologous_superfamily)","14","1098","1","223","0.48881016609067","2.84335154826958",0.598277647836482,"not significant"
"32","IPR036388","Winged helix-like DNA-binding domain superfamily (homologous_superfamily)","13","1099","2","222","1","1.3130118289354",1,"not significant"
