xref_pfam,count,pfam_name
,296,
PF00503,47,G-protein alpha subunit (domain)
PF00069,40,Protein kinase domain (domain)
PF00680,31,Viral RNA-dependent RNA polymerase (family)
PF01661,30,Macro domain (domain)
PF07714,30,Protein tyrosine and serine/threonine kinase (domain)
PF08717,27,Coronavirus replicase NSP8 (domain)
PF19217,27,"Coronavirus replicase NSP4, N-terminal (family)"
PF19218,27,"Coronavirus replicase NSP3, C-terminal (family)"
PF08710,27,Coronavirus replicase NSP9 (domain)
PF08715,27,Coronavirus papain-like peptidase (family)
PF08716,27,Coronavirus replicase NSP7 (domain)
PF09401,27,Coronavirus RNA synthesis protein NSP10 (family)
PF05409,27,Coronavirus endopeptidase C30 (family)
PF16348,27,"Coronavirus replicase NSP4, C-terminal (domain)"
PF19213,27,Coronavirus replicase NSP6 (family)
PF19215,26,"Coronavirus replicase NSP15, uridylate-specific endoribonuclease (domain)"
PF11501,26,Betacoronavirus replicase NSP1 (family)
PF11633,26,Betacoronavirus single-stranded poly(A) binding domain (domain)
PF12124,26,Betacoronavirus SUD-C domain (domain)
PF12379,26,"Betacoronavirus replicase NSP3, N-terminal (family)"
PF13087,26,AAA domain (domain)
PF19211,26,"Coronavirus replicase NSP2, N-terminal (family)"
PF16251,26,Betacoronavirus nucleic acid-binding (NAB) (domain)
PF19212,26,"Coronavirus replicase NSP2, C-terminal (family)"
PF19216,26,"Coronavirus replicase NSP15, middle domain (domain)"
PF19219,26,"Coronavirus replicase NSP15, N-terminal oligomerisation (domain)"
PF06478,26,"Coronavirus RNA-dependent RNA polymerase, N-terminal (domain)"
PF06471,26,Coronavirus proofreading exoribonuclease (family)
PF20631,26,"Coronavirus Nonstructural protein 13, 1B domain (domain)"
PF20632,26,"Coronavirus Non-structural protein 13, zinc-binding domain (domain)"
PF20633,26,"Coronavirus Nonstructural protein 13, stalk domain (domain)"
PF06460,26,Coronavirus 2'-O-methyltransferase (domain)
PF00240,18,Ubiquitin family (domain)
PF09408,14,"Betacoronavirus spike glycoprotein S1, receptor binding (domain)"
PF00041,14,Fibronectin type III domain (domain)
PF19209,14,"Coronavirus spike glycoprotein S1, C-terminal (domain)"
PF16451,14,"Betacoronavirus-like spike glycoprotein S1, N-terminal (domain)"
PF01601,14,Coronavirus spike glycoprotein S2 (family)
PF00105,12,"Double treble clef zinc finger, C4 type (domain)"
PF00104,12,Ligand-binding domain of nuclear hormone receptor (domain)
PF07679,12,Immunoglobulin I-set domain (domain)
PF00017,9,SH2 domain (domain)
PF00822,9,PMP-22/EMP/MP20/Claudin family (family)
PF02518,9,"Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase (domain)"
PF13354,9,Beta-lactamase enzyme family (domain)
PF07686,9,Immunoglobulin V-set domain (domain)
PF01387,8,Synuclein (family)
PF07654,8,Immunoglobulin C1-set domain (domain)
PF00400,8,"WD domain, G-beta repeat (repeat)"
PF13855,8,Leucine rich repeat (repeat)
PF00439,8,Bromodomain (domain)
PF01370,8,NAD dependent epimerase/dehydratase family (family)
PF00418,8,"Tau and MAP protein, tubulin-binding repeat (family)"
PF00005,8,ABC transporter (domain)
PF00096,7,"Zinc finger, C2H2 type (domain)"
PF00753,7,Metallo-beta-lactamase superfamily (domain)
PF05239,7,PRC-barrel domain (domain)
PF00018,7,SH3 domain (domain)
PF00561,7,alpha/beta hydrolase fold (domain)
PF00254,7,FKBP-type peptidyl-prolyl cis-trans isomerase (domain)
PF00061,7,Lipocalin / cytosolic fatty-acid binding protein family (domain)
PF00512,7,His Kinase A (phospho-acceptor) domain (domain)
PF00067,7,Cytochrome P450 (domain)
PF00071,7,Ras family (domain)
PF09042,7,Titin Z (domain)
PF18362,7,Tri-helix bundle domain (domain)
PF00702,7,haloacid dehalogenase-like hydrolase (domain)
PF02818,7,PPAK motif (conserved_site)
PF00092,7,von Willebrand factor type A domain (domain)
PF03967,6,"Photosynthetic reaction centre, H-chain N-terminal region (family)"
PF19086,6,"Terpene synthase family 2, C-terminal metal binding (domain)"
PF00644,6,Poly(ADP-ribose) polymerase catalytic domain (family)
PF13927,6,Immunoglobulin domain (domain)
PF00910,6,RNA helicase (domain)
PF00628,5,PHD-finger (domain)
PF00560,5,Leucine Rich Repeat (repeat)
PF00643,5,B-box zinc finger (domain)
PF00102,5,Protein-tyrosine phosphatase (domain)
PF08435,5,Calicivirus coat protein C-terminal (family)
PF00595,5,PDZ domain (domain)
PF02752,5,"Arrestin (or S-antigen), C-terminal domain (domain)"
PF00186,5,Dihydrofolate reductase (domain)
PF00339,5,"Arrestin (or S-antigen), N-terminal domain (domain)"
PF00915,5,Calicivirus coat protein (family)
PF00548,5,3C cysteine protease (picornain 3C) (family)
PF00076,5,RNA recognition motif (domain)
PF00078,5,Reverse transcriptase (RNA-dependent DNA polymerase) (domain)
PF12796,5,Ankyrin repeats (3 copies) (repeat)
PF00431,5,CUB domain (domain)
PF12577,5,PPAR gamma N-terminal region (family)
PF00150,5,Cellulase (glycosyl hydrolase family 5) (domain)
PF00373,5,FERM central domain (domain)
PF00533,5,BRCA1 C Terminus (BRCT) domain (family)
PF00004,4,ATPase family associated with various cellular activities (AAA) (domain)
PF00023,4,Ankyrin repeat (repeat)
PF00389,4,"D-isomer specific 2-hydroxyacid dehydrogenase, catalytic domain (domain)"
PF02826,4,"D-isomer specific 2-hydroxyacid dehydrogenase, NAD binding domain (domain)"
PF03171,4,2OG-Fe(II) oxygenase superfamily (domain)
PF00089,4,Trypsin (domain)
PF03548,4,Outer membrane lipoprotein carrier protein LolA (family)
PF00293,4,NUDIX domain (domain)
PF00022,4,Actin (family)
PF00331,4,Glycosyl hydrolase family 10 (domain)
PF00497,4,"Bacterial extracellular solute-binding proteins, family 3 (domain)"
PF00452,4,"Apoptosis regulator proteins, Bcl-2 family (family)"
PF01582,4,TIR domain (family)
PF02931,4,Neurotransmitter-gated ion-channel ligand binding domain (family)
PF22663,4,Picornavirus coat protein (domain)
PF14226,4,non-haem dioxygenase in morphine synthesis N-terminal (family)
PF19317,4,Gag protein p24 C-terminal domain (domain)
PF00550,4,Phosphopantetheine attachment site (domain)
PF00248,4,Aldo/keto reductase family (domain)
PF00042,4,Globin (domain)
PF00085,4,Thioredoxin (domain)
PF00082,4,Subtilase family (domain)
PF00704,4,Glycosyl hydrolases family 18 (domain)
PF12146,4,"Serine aminopeptidase, S33 (family)"
PF00746,4,LPXTG cell wall anchor motif (conserved_site)
