"","protein family","annotation","well-predicted, within family","well-predicted, outside family","poorly-predicted, within family","poorly-predicted, outside family","p_value","odds_ratio","p_value.adj","note"
"1","None","None","241","975","42","78","0.000243964727953101","0.459047619047619",0.00487929455906202,"poorly predicted family"
"2","PF00069","Protein kinase domain (domain)","38","1178","2","118","0.57329956692393","1.90322580645161",0.766094234878871,"not significant"
"3","PF07714","Protein tyrosine and serine/threonine kinase (domain)","30","1186","0","120","0.103202831482582","Inf",0.766094234878871,"not significant"
"4","PF00503","G-protein alpha subunit (domain)","17","1199","0","120","0.39086988068163","Inf",0.766094234878871,"not significant"
"5","PF00680","Viral RNA-dependent RNA polymerase (family)","13","1203","1","119","1","1.28595178719867",1,"not significant"
"6","PF00041","Fibronectin type III domain (domain)","13","1203","1","119","1","1.28595178719867",1,"not significant"
"7","PF01661","Macro domain (domain)","12","1204","1","119","1","1.18604651162791",1,"not significant"
"8","PF07679","Immunoglobulin I-set domain (domain)","11","1205","1","119","1","1.08630705394191",1,"not significant"
"9","PF00105","Double treble clef zinc finger, C4 type (domain)","11","1205","0","120","0.612875387903097","Inf",0.766094234878871,"not significant"
"10","PF00104","Ligand-binding domain of nuclear hormone receptor (domain)","11","1205","0","120","0.612875387903097","Inf",0.766094234878871,"not significant"
"11","PF08717","Coronavirus replicase NSP8 (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"12","PF08716","Coronavirus replicase NSP7 (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"13","PF19218","Coronavirus replicase NSP3, C-terminal (family)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"14","PF09401","Coronavirus RNA synthesis protein NSP10 (family)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"15","PF08715","Coronavirus papain-like peptidase (family)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"16","PF08710","Coronavirus replicase NSP9 (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"17","PF19213","Coronavirus replicase NSP6 (family)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"18","PF19217","Coronavirus replicase NSP4, N-terminal (family)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"19","PF16348","Coronavirus replicase NSP4, C-terminal (domain)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
"20","PF05409","Coronavirus endopeptidase C30 (family)","9","1207","1","119","0.611115730575384","0.887323943661972",0.766094234878871,"not significant"
