"","protein family","annotation","AlphaFold2","ESMFold","OmegaFold"
"1","None","None","poorly predicted family (p-value: 0, odds ratio: 0.482)","not significant (p-value: 1, odds ratio: 1.013)","not significant (p-value: 0.556, odds ratio: 0.902)"
"2","PF00041","Fibronectin type III domain (domain)","not significant (p-value: 1, odds ratio: 1.326)","not significant (p-value: 0.146, odds ratio: Inf)","not significant (p-value: 0.487, odds ratio: 2.953)"
"3","PF00069","Protein kinase domain (domain)","not significant (p-value: 0.576, odds ratio: 1.96)","well-predicted family (p-value: 0.014, odds ratio: 7.292)","well-predicted family (p-value: 0.022, odds ratio: 4.392)"
"4","PF00104","Ligand-binding domain of nuclear hormone receptor (domain)","not significant (p-value: 0.617, odds ratio: Inf)","not significant (p-value: 0.232, odds ratio: Inf)","not significant (p-value: 0.139, odds ratio: Inf)"
"5","PF00105","Double treble clef zinc finger, C4 type (domain)","not significant (p-value: 0.617, odds ratio: Inf)","not significant (p-value: 0.232, odds ratio: Inf)","not significant (p-value: 0.139, odds ratio: Inf)"
"6","PF00240","Ubiquitin family (domain)","not significant (p-value: 1, odds ratio: 1.739)","not significant (p-value: 1, odds ratio: 1.461)","not significant (p-value: 0.553, odds ratio: 1.815)"
"7","PF00503","G-protein alpha subunit (domain)","well-predicted family (p-value: 0.018, odds ratio: Inf)","not significant (p-value: 0.417, odds ratio: 0.761)","well-predicted family (p-value: 0, odds ratio: Inf)"
"8","PF00680","Viral RNA-dependent RNA polymerase (family)","not significant (p-value: 0.354, odds ratio: 3.099)","poorly predicted family (p-value: 0, odds ratio: 0.048)","poorly predicted family (p-value: 0, odds ratio: 0.049)"
"9","PF01601","Coronavirus spike glycoprotein S2 (family)","not significant (p-value: 0.632, odds ratio: Inf)","not significant (p-value: 0.051, odds ratio: 0.322)","not significant (p-value: 0.154, odds ratio: 0.401)"
"10","PF01661","Macro domain (domain)","not significant (p-value: 0.516, odds ratio: 2.994)","poorly predicted family (p-value: 0, odds ratio: 0.025)","poorly predicted family (p-value: 0, odds ratio: 0.023)"
"11","PF05409","Coronavirus endopeptidase C30 (family)","not significant (p-value: 0.505, odds ratio: 2.678)","poorly predicted family (p-value: 0, odds ratio: 0.013)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
"12","PF06460","Coronavirus 2'-O-methyltransferase (domain)","not significant (p-value: 0.505, odds ratio: 2.573)","poorly predicted family (p-value: 0, odds ratio: 0.014)","poorly predicted family (p-value: 0, odds ratio: 0.008)"
